id;studyid;reference;lat;lon;mat;map;clay;soc;ph;year;g_crop_type;management;describe;fertilizer_type;crop_residue;tillage;cover_crop_and_crop_rotation;fertilizer_strategy;rfr;rfp;rft;n_dose;replication ;nue_type;nuet_mean;nuet_sd;nuec_mean;nuec_sd;nup_type;nut_mean;nut_sd;nut_0N;nuc_mean;nuc_sd;nuc_0N
87;20;Carter_1985_Spring;52,87;-104,62;1,693723679;580,3530449;39,9;25,18571429;7,021428571;12;wheat;NT;;mineral;no;no-till;no;conventional;no;no;no;100;3;REN;19,3;;15,7;;;;;;;;
89;22;Chai Huiqing_2011_Effects_Chinese;28,98;112,94;18,10659803;1538,515438;32,95;17,22857143;6,028571429;1;rice;RFR;;mineral;no;conventional;no;rate;yes;no;no;127,5;3;REN;50,06;;27,78;;;;;;;;
90;22;Chai Huiqing_2011_Effects_Chinese;28,98;112,94;18,10659803;1538,515438;32,95;17,22857143;6,028571429;1;rice;CF;;combined;no;conventional;no;conventional;no;no;no;150;3;REN;39,8;;27,78;;;;;;;;
91;22;Chai Huiqing_2011_Effects_Chinese;28,98;112,94;18,10659803;1538,515438;32,95;17,22857143;6,028571429;1;rice;EE;CRF;enhanced;no;conventional;no;rate;yes;no;no;120;3;REN;38,37;;27,78;;;;;;;;
92;22;Chai Huiqing_2011_Effects_Chinese;28,98;112,94;18,10659803;1538,515438;32,95;17,22857143;6,028571429;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;144;3;REN;39,51;;27,78;;;;;;;;
93;23;Chen k_2009_Nirtrogen__Chinese;30,25;103,85;17,46214816;1029,307653;29,65714286;13,07142857;7,092857143;1;rice;RT;;mineral;no;reduced;no;conventional;no;no;no;120;3;REN;44,67;;13,8;;;;;;;;
94;23;Chen k_2009_Nirtrogen__Chinese;30,25;103,85;17,46214816;1029,307653;29,65714286;13,07142857;7,092857143;1;wheat;RT;;mineral;no;reduced;no;conventional;no;no;no;120;3;REN;49,69;;28,11;;;;;;;;
95;24;Chen Kai-lin_2014_Effect_Chinese;28,51;112,65;18,21852837;1586,054461;30,51428571;15,71428571;5,964285714;1;rice;OF;;organic;no;conventional;no;conventional;no;no;no;135;3;REN;67,25925926;;59,55555556;;;;;;;;
96;24;Chen Kai-lin_2014_Effect_Chinese;28,51;112,65;18,21852837;1586,054461;30,51428571;15,71428571;5,964285714;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;135;3;REN;65,40740407;;59,55555556;;;;;;;;
97;24;Chen Kai-lin_2014_Effect_Chinese;28,51;112,65;18,21852837;1586,054461;30,51428571;15,71428571;5,964285714;1;rice;OF;;organic;no;conventional;no;conventional;no;no;no;135;3;REN;87,77777778;;75,25925926;;;;;;;;
