ID,lon,lat,bdod_mean_0_5,bdod_mean_15_30,bdod_mean_5_15,cec_mean_0_5,cec_mean_15_30,cec_mean_5_15,clay_mean_0_5,clay_mean_15_30,clay_mean_5_15,ntot_mean_0_5,ntot_mean_15_30,ntot_mean_5_15,phw_mean_0_5,phw_mean_15_30,phw_mean_5_15,sand_mean_0_5,sand_mean_15_30,sand_mean_5_15,silt_mean_0_5,silt_mean_15_30,silt_mean_5_15,soc_mean_0_5,soc_mean_15_30,soc_mean_5_15,pre_mean,pre_sd,tmp_mean,tmp_sd,pet_mean,pet_sd,GEnZname,GEnZ,GEnS
57,12.4675,41.905,84.5309734513275,94.6165191740413,91.6312684365782,169.492625368732,144.890855457227,150.581120943953,195.811209439528,210.241887905605,194.073746312684,250.581120943953,107.321533923304,128.899705014749,47.023598820059,47.4955752212389,47.2772861356932,199.150442477876,190.480825958702,198.362831858407,268.755162241888,262.964601769912,271.274336283186,368.575221238938,135.893805309735,154.014749262537,57.3120700655312,39.1951818935428,16.6149427972991,5.78549378323186,2.85086211116835,1.49497695640415,K. Warm temperate and mesic,K,K10
58,35.2433,38.9636,131,139,137,242,252,249,332,364,351,228,140,174,77,77,78,330,308,318,338,328,331,317,171,199,32.4574718310487,21.95781363104,10.4994254780441,7.92538342629818,2.87327590858799,1.77309503431933,H. Cool temperate and dry,H,H7
59,23.8814,55.1694,98,143,125,332,179,234,185,242,185,703,247,258,70,71,71,409,386,412,405,372,403,806,346,213,52.0859204057989,25.5222211650429,7.50545991957188,8.12037686456899,1.70344830330076,1.42436181397876,H. Cool temperate and dry,H,H5
60,21.0058,44.0164,139,152,150,244,238,249,388,388,390,491,132,185,65,65,65,250,245,246,361,366,364,364,126,169,60.9933917138768,29.6586090893925,12.3968393358177,8.14458105286174,2.5097701553812,1.65057566966302,J. Cool temperate and moist,J,J5
61,-1.1742,52.3553,106,121,112,285,169,185,334,326,334,675,495,395,62,68,68,339,349,344,328,324,323,788,336,458,56.6675295665346,26.8046799788448,10.0204024885877,4.80836373372485,1.591091978824,1.07263901428101,J. Cool temperate and moist,J,J3
62,-3.7492,40.4303,116.85628742515,126.811377245509,124.22754491018,206.224550898204,188.688622754491,190.958083832335,203.910179640719,222.88622754491,199.949101796407,282.763473053892,112.844311377246,115.01497005988,63.7694610778443,65.2095808383234,65.1706586826347,380.062874251497,375.934131736527,384.281437125749,293.293413173653,278.416167664671,292.997005988024,327.080838323353,129.709580838323,136.230538922156,33.0215524371457,27.707301988067,15.3752875780237,6.97547946482465,3.41867822631337,2.05494318875007,K. Warm temperate and mesic,K,K9
63,24.9667,45.9431,115,134,127,268,237,248,312,333,325,457,176,262,55,55,55,300,285,297,388,382,379,686,260,316,65.1956908315763,38.6805301635125,7.6568966988988,7.86898377868433,1.9821839395311,1.24227823270589,H. Cool temperate and dry,H,H5
64,-3.4358,55.3781,85,96,93,448,337,335,113,115,104,1718,899,1504,41,41,41,607,609,578,281,277,318,2992,2505,2912,133.437071454936,60.5764582478571,8.02528748961016,4.24384879736834,1.31120691923746,0.879491440646933,J. Cool temperate and moist,J,J1
65,15.2,45.1,93,111,104,303,228,269,205,257,227,755,345,430,57,61,61,362,305,353,433,438,419,854,291,497,131.880462211439,66.8811114294676,9.74281625867147,7.13643746936632,2.05431037490395,1.36033089314119,J. Cool temperate and moist,J,J1
66,19.5033,47.1625,134,144,140,231,171,180,230,182,226,415,166,170,71,71,71,578,688,580,192,130,194,447,127,177,44.4580466666783,25.6237480630676,11.1540231494254,8.17957056412778,2.30574717149995,1.62076630021459,I. Cool temperate and xeric,I,I4
67,8.4689,60.4719,72,106,95,511,191,318,71,83,67,839,267,595,48,51,50,546,539,531,383,378,402,2027,536,1308,55.8540239388915,25.2532047383421,3.21005752468589,7.19612756307118,1.53678163031823,1.25728907455012,F. Extremely cold and mesic,F,F15
68,10.4514,51.1656,119,136,130,313,144,170,275,282,303,683,186,207,53,55,54,168,184,154,557,534,543,555,287,281,54.3416676774792,24.3073341176035,8.78477025680758,6.51265886545757,1.74827589073229,1.27166978467988,H. Cool temperate and dry,H,H5
69,1.8883,46.6034,130,141,139,294,178,190,201,234,183,585,158,203,64,66,66,413,381,411,386,385,406,575,172,263,62.0683916478322,29.4213412911332,12.0525864122928,5.83130970449836,2.31293107890363,1.50588839060387,J. Cool temperate and moist,J,J5
70,-3.7122,40.4637,129,139,137,244,202,204,222,223,213,492,157,173,70,71,71,455,486,456,323,292,331,573,123,225,33.0215524371457,27.707301988067,15.3752875780237,6.97547946482465,3.41867822631337,2.05494318875007,K. Warm temperate and mesic,K,K4
71,105.3194,61.524,64,123,106,460,274,351,239,244,230,721,512,388,59,60,59,409,416,421,352,340,348,1398,990,1321,31.128736195208,20.4690318858218,-7.64454038972142,17.1485191977266,1.10574714287088,1.15936049694243,G. Cold and mesic,G,G2
72,21.8243,39.0742,116,131,125,273,233,263,283,315,280,559,132,188,64,64,65,332,320,342,386,365,378,727,173,308,58.1954031776551,41.9630506316471,13.4859197413784,7.1611708066256,2.68304602699033,1.65846879826918,K. Warm temperate and mesic,K,K1
73,19.1451,51.9194,123,140,131,315,149,160,74,118,57,599,107,135,55,58,56,706,670,721,219,212,222,670,129,122,45.1376444139015,26.8167624219767,9.0770116526762,7.39007371027185,1.88994256242168,1.38677867854817,H. Cool temperate and dry,H,H9
74,8.2275,46.8182,98,113,105,454,239,334,304,306,296,991,420,612,50,52,51,272,272,270,423,422,435,985,406,622,166.261784763172,74.7999720577712,3.80258627871758,5.86447520153141,1.60862071966303,0.912251148984286,E. Cold and wet,E,E4
75,12.5674,41.8719,88.6041055718475,99.4956011730205,96.1788856304985,286,239,250,307,303,299,343,149,159,74,74,74,278,275,279,416,422,422,399.674486803519,146.557184750733,169.692082111437,64.9387941072727,41.1946773197533,15.8948278810786,6.09393593989604,2.86982763447296,1.52975598770203,K. Warm temperate and mesic,K,K10
76,15.4729,49.8175,118,136,128,245,197,196,232,261,255,456,196,167,65,66,66,312,291,299,456,448,446,405,131,204,54.2692536324605,29.3062378928735,8.83534499204279,7.41411459095354,2.13793106798896,1.47135896915849,H. Cool temperate and dry,H,H5
77,14.5501,47.5162,114,125,119,314,236,238,202,198,215,894,234,427,59,60,59,278,281,271,520,520,514,797,326,452,103.195404073031,50.6317301442285,6.77298861838363,7.14380219299858,1.81839083417736,1.2010589855963,G. Cold and mesic,G,G8
78,24.9668,45.9432,115,134,127,268,237,248,312,333,325,457,176,262,55,55,55,300,285,297,388,382,379,686,260,316,65.1956908315763,38.6805301635125,7.6568966988988,7.86898377868433,1.9821839395311,1.24227823270589,H. Cool temperate and dry,H,H5
79,35.2433,38.9637,131,139,137,242,252,249,332,364,351,228,140,174,77,77,78,330,308,318,338,328,331,317,171,199,32.4574718310487,21.95781363104,10.4994254780441,7.92538342629818,2.87327590858799,1.77309503431933,H. Cool temperate and dry,H,H7
80,-3.4229,55.3781,85,96,93,448,337,335,113,115,104,1718,899,1504,41,41,41,607,609,578,281,277,318,2992,2505,2912,133.437071454936,60.5764582478571,8.02528748961016,4.24384879736834,1.31120691923746,0.879491440646933,E. Cold and wet,E,E4
81,-3.7,40.4333,129,139,137,244,202,204,222,223,213,492,157,173,70,71,71,455,486,456,323,292,331,573,123,225,33.0215524371457,27.707301988067,15.3752875780237,6.97547946482465,3.41867822631337,2.05494318875007,K. Warm temperate and mesic,K,K4
82,20.4833,44.7833,122.924581005587,135.695530726257,132.712290502793,263.698324022346,234.527932960894,243.868715083799,371.656424581006,365.324022346369,380.472067039106,485.463687150838,147.58938547486,167.715083798883,60.2458100558659,60.8463687150838,60.5307262569832,212.692737430168,214.100558659218,206.924581005587,331.843575418994,336.779329608939,328.756983240223,361.54469273743,138.117318435754,176.731843575419,59.5807483148301,31.1459304262191,13.1212645841698,8.22356971224834,2.53936785913404,1.68747777955074,K. Warm temperate and mesic,K,K3
83,17.0167,51.15,120,135,128,272,171,191,204,256,208,659,211,260,49,52,50,417,378,416,379,366,377,538,125,194,46.7591963746082,29.5783684106,9.45258638416899,7.42916372047784,1.94798853027838,1.42277542976425,H. Cool temperate and dry,H,H5
84,15.9333,51.9167,131,141,137,283,156,176,98,103,90,806,182,152,51,54,51,704,691,711,197,206,199,577,130,220,45.9054605479556,26.1625492261851,9.88850592856092,7.22808615722186,2.01436785000494,1.46055552423909,H. Cool temperate and dry,H,H9
85,16.5667,53.4,110,138,128,289,129,157,86,86,67,611,206,178,49,52,49,777,776,790,137,138,143,825,474,460,49.6951158992176,27.0852158341313,8.95718410204368,7.04040885007507,1.85574715271935,1.40849473178615,H. Cool temperate and dry,H,H5
